Time,Load,User,Temperature(F),Dew Point(F),Humidity(%),Wind,Wind Speed(mph),Wind Gust(mph),Pressure(in),Condition,01Low_temperature,02High_temperature,03High_humidty,04High_heat_and_humidty,05Damaging_Wind_Gusts,06Very_Damaging_Wind_Gusts,07Violent_Wind_Gusts,08Tropical_Storm,09Severe_Tropical_Storm,10Typhoon,11Strong_Typhoon,12Super_Typhoon,13Heavy_Rain,14Heavy_Rain_with_Windy,15Heavy_Rain_Shower,16Heavy_Rain_Shower_with_Windy,17Heavy_T_Storm,18Heavy_T_Storm_with_Windy,19Light_Sleet,20Light_Sleet_with_Windy
2016-07-19 15:15:00,0.0,U85,83.43583333333333,78.5,81.31,S,13.379166666666666,17.9,29.67,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 15:30:00,0.0,U85,83.625,78.62,80.62,S,12.455,15.34,29.67,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 15:45:00,0.1163,U85,83.81416666666667,78.74,79.94,S,11.530833333333334,12.78,29.67,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 16:00:00,0.0,U85,84.00333333333333,78.85,79.25,S,10.606666666666666,10.23,29.67,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 16:15:00,0.0,U85,84.1925,78.97,78.56,S,9.6825,7.67,29.67,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 16:30:00,0.0,U85,84.38166666666667,79.09,77.88,S,8.758333333333333,5.11,29.67,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 16:45:00,0.1163,U85,84.57083333333334,79.2,77.2,S,7.834166666666666,2.56,29.67,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 17:00:00,0.0,U85,84.76,79.32,76.51,S,6.91,0.0,29.67,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 17:15:00,0.0,U85,84.575,79.24,76.87,S,7.0975,0.0,29.69,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 17:30:00,0.1163,U85,84.39,79.16,77.22,S,7.285,0.0,29.72,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 17:45:00,0.0,U85,84.20500000000001,79.08,77.58,S,7.4725,0.0,29.74,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 18:00:00,0.0,U85,84.02000000000001,79.0,77.93,S,7.66,0.0,29.76,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 18:15:00,0.0,U85,83.83500000000001,78.92,78.29,S,7.8475,0.0,29.79,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 18:30:00,0.1163,U85,83.65,78.83,78.65,S,8.035,0.0,29.81,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 18:45:00,0.0,U85,83.465,78.75,79.0,S,8.2225,0.0,29.83,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 19:00:00,0.0,U85,83.28,78.67,79.36,S,8.41,0.0,29.86,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 19:15:00,0.0,U85,83.095,78.59,79.71,S,8.5975,0.0,29.88,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 19:30:00,0.1163,U85,82.91000000000001,78.51,80.07,S,8.785,0.0,29.9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 19:45:00,0.0,U85,82.72500000000001,78.43,80.42,S,8.9725,0.0,29.93,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 20:00:00,0.0,U85,82.54,78.35,80.78,SSE,9.16,0.0,29.95,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 20:15:00,0.1163,U85,82.415,78.23,81.31,SSE,9.14,0.0,29.95,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 20:30:00,0.0,U85,82.29,78.11,81.84,SSE,9.12,0.0,29.95,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 20:45:00,0.0,U85,82.165,77.98,82.37,SSE,9.1,0.0,29.95,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 21:00:00,0.0,U85,82.04,77.86,82.9,SSE,9.08,0.0,29.95,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 21:15:00,0.1163,U85,81.915,77.74,83.43,SSE,9.06,0.0,29.95,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 21:30:00,0.0,U85,81.79,77.62,83.96,SSE,9.04,0.0,29.95,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 21:45:00,0.0,U85,81.665,77.5,84.49,SSE,9.02,0.0,29.95,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 22:00:00,0.1163,U85,81.54,77.38,85.02,SSE,9.0,0.0,29.95,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 22:15:00,0.0,U85,81.415,77.26,85.55,SSE,8.98,0.0,29.95,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 22:30:00,0.0,U85,81.29,77.13,86.08,SSE,8.96,0.0,29.95,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 22:45:00,0.1163,U85,81.165,77.01,86.61,SSE,8.94,0.0,29.95,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 23:00:00,0.0,U85,81.04,76.89,87.14,S,8.92,0.0,29.95,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 23:15:00,0.0,U85,81.01166666666667,76.77,86.95,S,9.2575,0.0,29.91,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 23:30:00,0.0,U85,80.98333333333333,76.65,86.76,S,9.595,0.0,29.87,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-19 23:45:00,0.1163,U85,80.95500000000001,76.53,86.57,S,9.9325,0.0,29.83,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 00:00:00,0.0,U85,80.92666666666668,76.41,86.38,S,10.27,0.0,29.79,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 00:15:00,0.0,U85,80.89833333333334,76.29,86.19,S,10.6075,0.0,29.75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 00:30:00,0.1163,U85,80.87,76.18,86.0,S,10.945,0.0,29.72,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 00:45:00,0.0,U85,80.84166666666667,76.06,85.81,S,11.2825,0.0,29.68,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 01:00:00,0.0,U85,80.81333333333333,75.94,85.62,S,11.62,0.0,29.64,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 01:15:00,0.0,U85,80.785,75.82,85.43,S,11.9575,0.0,29.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 01:30:00,0.1163,U85,80.75666666666667,75.7,85.24,S,12.295000000000002,0.0,29.56,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 01:45:00,0.0,U85,80.72833333333334,75.58,85.05,S,12.6325,0.0,29.52,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 02:00:00,0.0,U85,80.7,75.46,84.86,SE,12.97,0.0,29.48,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 02:15:00,0.1163,U85,80.5475,75.7,85.58,SE,12.225833333333334,0.0,29.48,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 02:30:00,0.0,U85,80.39500000000001,75.94,86.29,SE,11.481666666666667,0.0,29.48,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 02:45:00,0.0,U85,80.2425,76.17,87.01,SE,10.7375,0.0,29.48,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 03:00:00,0.1163,U85,80.09,76.41,87.72,SE,9.993333333333334,0.0,29.48,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 03:15:00,0.0,U85,79.9375,76.65,88.44,SE,9.249166666666667,0.0,29.48,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 03:30:00,0.0,U85,79.785,76.88,89.16,SE,8.505,0.0,29.48,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 03:45:00,0.0,U85,79.63250000000001,77.12,89.87,SE,7.760833333333334,0.0,29.49,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 04:00:00,0.1163,U85,79.48,77.36,90.59,SE,7.016666666666668,0.0,29.49,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 04:15:00,0.0,U85,79.3275,77.6,91.3,SE,6.272500000000001,0.0,29.49,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 04:30:00,0.0,U85,79.17500000000001,77.84,92.02,SE,5.528333333333334,0.0,29.49,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 04:45:00,0.1163,U85,79.02250000000001,78.07,92.73,SE,4.784166666666668,0.0,29.49,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 05:00:00,0.0,U85,78.87,78.31,93.45,SSE,4.04,0.0,29.49,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 05:15:00,0.0,U85,79.31750000000001,78.25,92.86,SSE,4.2908333333333335,0.0,29.48,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 05:30:00,0.0,U85,79.765,78.2,92.27,SSE,4.541666666666667,0.0,29.48,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 05:45:00,0.1163,U85,80.2125,78.14,91.68,SSE,4.7925,0.0,29.47,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 06:00:00,0.0,U85,80.66,78.08,91.08,SSE,5.043333333333333,0.0,29.46,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 06:15:00,0.0,U85,81.1075,78.02,90.49,SSE,5.2941666666666665,0.0,29.46,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 06:30:00,0.1163,U85,81.555,77.96,89.9,SSE,5.545,0.0,29.45,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 06:45:00,0.0,U85,82.0025,77.91,89.31,SSE,5.795833333333333,0.0,29.44,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 07:00:00,0.0,U85,82.45,77.85,88.72,SSE,6.046666666666667,0.0,29.44,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 07:15:00,0.0,U85,82.8975,77.79,88.12,SSE,6.297499999999999,0.0,29.43,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 07:30:00,0.1163,U85,83.345,77.74,87.53,SSE,6.548333333333333,0.0,29.42,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 07:45:00,0.0,U85,83.79249999999999,77.68,86.94,SSE,6.799166666666666,0.0,29.42,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 08:00:00,0.0,U85,84.24,77.62,86.35,SSE,7.05,0.0,29.41,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 08:15:00,0.0,U85,84.23916666666666,77.71,85.89,SSE,7.198333333333333,0.0,29.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 08:30:00,0.1163,U85,84.23833333333333,77.81,85.43,SSE,7.346666666666667,0.0,29.38,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 08:45:00,0.0,U85,84.2375,77.9,84.97,SSE,7.495,0.0,29.36,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 09:00:00,0.0,U85,84.23666666666666,78.0,84.51,SSE,7.643333333333333,0.0,29.35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 09:15:00,0.0,U85,84.23583333333333,78.09,84.05,SSE,7.791666666666666,0.0,29.34,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 09:30:00,0.1163,U85,84.235,78.18,83.58,SSE,7.939999999999999,0.0,29.32,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 09:45:00,0.0,U85,84.23416666666667,78.28,83.12,SSE,8.088333333333333,0.0,29.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 10:00:00,0.0,U85,84.23333333333333,78.37,82.66,SSE,8.236666666666666,0.0,29.29,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 10:15:00,0.1163,U85,84.2325,78.47,82.2,SSE,8.385,0.0,29.28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 10:30:00,0.0,U85,84.23166666666667,78.56,81.74,SSE,8.533333333333333,0.0,29.26,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 10:45:00,0.0,U85,84.23083333333334,78.66,81.28,SSE,8.681666666666667,0.0,29.24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 11:00:00,0.0,U85,84.23,78.75,80.82,W,8.83,0.0,29.23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 11:15:00,0.1163,U85,84.89750000000001,78.51,79.11,W,9.613333333333332,0.0,29.28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 11:30:00,0.0,U85,85.565,78.26,77.41,W,10.396666666666668,0.0,29.32,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 11:45:00,0.0,U85,86.2325,78.02,75.7,W,11.18,0.0,29.37,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 12:00:00,0.1163,U85,86.9,77.78,74.0,W,11.963333333333331,0.0,29.42,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 12:15:00,0.0,U85,87.5675,77.53,72.3,W,12.746666666666666,0.0,29.46,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 12:30:00,0.0,U85,88.235,77.29,70.59,W,13.53,0.0,29.51,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 12:45:00,0.0,U85,88.9025,77.05,68.88,W,14.313333333333333,0.0,29.56,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-20 13:00:00,0.1163,U85,89.57,76.8,67.18,W,15.096666666666668,0.0,29.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
