Time,Load,User,Temperature(F),Dew Point(F),Humidity(%),Wind,Wind Speed(mph),Wind Gust(mph),Pressure(in),Condition,01Low_temperature,02High_temperature,03High_humidty,04High_heat_and_humidty,05Damaging_Wind_Gusts,06Very_Damaging_Wind_Gusts,07Violent_Wind_Gusts,08Tropical_Storm,09Severe_Tropical_Storm,10Typhoon,11Strong_Typhoon,12Super_Typhoon,13Heavy_Rain,14Heavy_Rain_with_Windy,15Heavy_Rain_Shower,16Heavy_Rain_Shower_with_Windy,17Heavy_T_Storm,18Heavy_T_Storm_with_Windy,19Light_Sleet,20Light_Sleet_with_Windy
2017-08-02 00:15:00,12.3061,U189,83.28,79.68,85.79,SSE,4.97,0.0,29.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-02 00:30:00,11.2123,U189,83.18,79.7,85.75,SSE,4.55,0.0,29.58,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-02 00:45:00,11.4857,U189,83.08,79.73,85.71,SSE,4.129999999999999,0.0,29.55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-02 01:00:00,11.7592,U189,82.98,79.76,85.67,SSE,3.71,0.0,29.53,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-02 01:15:00,11.349,U189,82.88,79.79,85.62,SSE,3.29,0.0,29.51,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-02 01:30:00,12.3061,U189,82.78,79.82,85.58,SSE,2.869999999999999,0.0,29.49,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-02 01:45:00,12.1694,U189,82.67999999999999,79.85,85.54,SSE,2.45,0.0,29.47,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-02 02:00:00,11.4857,U189,82.58,79.88,85.5,SSW,2.03,0.0,29.45,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-02 02:15:00,11.7592,U189,82.53166666666667,79.79,85.85,SSW,2.4441666666666664,0.0,29.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-02 02:30:00,11.0755,U189,82.48333333333333,79.71,86.2,SSW,2.8583333333333334,0.0,29.55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-02 02:45:00,11.349,U189,82.435,79.62,86.55,SSW,3.2725,0.0,29.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-02 03:00:00,12.3061,U189,82.38666666666667,79.53,86.9,SSW,3.6866666666666665,0.0,29.65,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-02 03:15:00,10.8021,U189,82.33833333333334,79.45,87.25,SSW,4.100833333333334,0.0,29.7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
